204.651489,54.287937,317.707886,111.001862,0.977453,16.000000
211.303360,281.364136,325.718628,338.568420,0.965177,12.000000
311.577332,142.388611,411.920349,188.959595,0.963768,17.000000
205.723938,100.848999,291.269531,156.724945,0.956239,14.000000
212.159668,328.318726,326.525208,384.872070,0.950961,11.000000
315.146423,235.509674,370.713806,280.656952,0.942358,4.000000
208.730560,236.054596,325.061371,293.038788,0.934367,10.000000
211.708099,280.860779,326.622162,379.076843,0.621298,12.000000
208.811584,235.369995,325.015930,338.157227,0.509953,10.000000
204.860413,54.198151,314.174622,157.370651,0.257277,16.000000
